Noun,Complete
account,0
achiever,0
acoustics,0
act,0
action,0
activity,0
actor,0
addition,0
adjustment,0
advertisement,0
advice,0
aftermath,0
afternoon,0
afterthought,0
agreement,0
air,0
airplane,0
airport,0
alarm,0
amount,0
amusement,0
anger,0
angle,0
animal,0
answer,0
ant,0
ants,0
apparatus,0
apparel,0
apple,0
apples,0
appliance,0
approval,0
arch,0
argument,0
arithmetic,0
arm,0
army,0
art,0
attack,0
attempt,0
attention,0
attraction,0
aunt,0
authority,0
babies,0
baby,0
back,0
badge,0
bag,0
bait,0
balance,0
ball,0
balloon,0
balls,0
banana,0
band,0
base,0
baseball,0
basin,0
basket,0
basketball,0
bat,0
bath,0
battle,0
bead,0
beam,0
bean,0
bear,0
bears,0
beast,0
bed,0
bedroom,0
beds,0
bee,0
beef,0
beetle,0
beggar,0
beginner,0
behavior,0
belief,0
believe,0
bell,0
bells,0
berry,0
bike,0
bikes,0
bird,0
birds,0
birth,0
birthday,0
bit,0
bite,0
blade,0
blood,0
blow,0
board,0
boat,0
boats,0
body,0
bomb,0
bone,0
book,0
books,0
boot,0
border,0
bottle,0
boundary,0
box,0
boy,0
boys,0
brain,0
brake,0
branch,0
brass,0
bread,0
breakfast,0
breath,0
brick,0
bridge,0
brother,0
brothers,0
brush,0
bubble,0
bucket,0
building,0
bulb,0
bun,0
burn,0
burst,0
bushes,0
business,0
butter,0
button,0
cabbage,0
cable,0
cactus,0
cake,0
cakes,0
calculator,0
calendar,0
camera,0
camp,0
can,0
cannon,0
canvas,0
cap,0
caption,0
car,0
card,0
care,0
carpenter,0
carriage,0
cars,0
cart,0
cast,0
cat,0
cats,0
cattle,0
cause,0
cave,0
celery,0
cellar,0
cemetery,0
cent,0
chain,0
chair,0
chairs,0
chalk,0
chance,0
change,0
channel,0
cheese,0
cherries,0
cherry,0
chess,0
chicken,0
chickens,0
children,0
chin,0
church,0
circle,0
clam,0
class,0
clock,0
clocks,0
cloth,0
cloud,0
clouds,0
clover,0
club,0
coach,0
coal,0
coast,0
coat,0
cobweb,0
coil,0
collar,0
color,0
comb,0
comfort,0
committee,0
company,0
comparison,0
competition,0
condition,0
connection,0
control,0
cook,0
copper,0
copy,0
cord,0
cork,0
corn,0
cough,0
country,0
cover,0
cow,0
cows,0
crack,0
cracker,0
crate,0
crayon,0
cream,0
creator,0
creature,0
credit,0
crib,0
crime,0
crook,0
crow,0
crowd,0
crown,0
crush,0
cry,0
cub,0
cup,0
current,0
curtain,0
curve,0
cushion,0
dad,0
daughter,0
day,0
death,0
debt,0
decision,0
deer,0
degree,0
design,0
desire,0
desk,0
destruction,0
detail,0
development,0
digestion,0
dime,0
dinner,0
dinosaurs,0
direction,0
dirt,0
discovery,0
discussion,0
disease,0
disgust,0
distance,0
distribution,0
division,0
dock,0
doctor,0
dog,0
dogs,0
doll,0
dolls,0
donkey,0
door,0
downtown,0
drain,0
drawer,0
dress,0
drink,0
driving,0
drop,0
drug,0
drum,0
duck,0
ducks,0
dust,0
ear,0
earth,0
earthquake,0
edge,0
education,0
effect,0
egg,0
eggnog,0
eggs,0
elbow,0
end,0
engine,0
error,0
event,0
example,0
exchange,0
existence,0
expansion,0
experience,0
expert,0
eye,0
eyes,0
face,0
fact,0
fairies,0
fall,0
family,0
fan,0
fang,0
farm,0
farmer,0
father,0
father,0
faucet,0
fear,0
feast,0
feather,0
feeling,0
feet,0
fiction,0
field,0
fifth,0
fight,0
finger,0
finger,0
fire,0
fireman,0
fish,0
flag,0
flame,0
flavor,0
flesh,0
flight,0
flock,0
floor,0
flower,0
flowers,0
fly,0
fog,0
fold,0
food,0
foot,0
force,0
fork,0
form,0
fowl,0
frame,0
friction,0
friend,0
friends,0
frog,0
frogs,0
front,0
fruit,0
fuel,0
furniture,0
galley,0
game,0
garden,0
gate,0
geese,0
ghost,0
giants,0
giraffe,0
girl,0
girls,0
glass,0
glove,0
glue,0
goat,0
gold,0
goldfish,0
good-bye,0
goose,0
government,0
governor,0
grade,0
grain,0
grandfather,0
grandmother,0
grape,0
grass,0
grip,0
ground,0
group,0
growth,0
guide,0
guitar,0
gun,0
hair,0
haircut,0
hall,0
hammer,0
hand,0
hands,0
harbor,0
harmony,0
hat,0
hate,0
head,0
health,0
hearing,0
heart,0
heat,0
help,0
hen,0
hill,0
history,0
hobbies,0
hole,0
holiday,0
home,0
honey,0
hook,0
hope,0
horn,0
horse,0
horses,0
hose,0
hospital,0
hot,0
hour,0
house,0
houses,0
humor,0
hydrant,0
ice,0
icicle,0
idea,0
impulse,0
income,0
increase,0
industry,0
ink,0
insect,0
instrument,0
insurance,0
interest,0
invention,0
iron,0
island,0
jail,0
jam,0
jar,0
jeans,0
jelly,0
jellyfish,0
jewel,0
join,0
joke,0
journey,0
judge,0
juice,0
jump,0
kettle,0
key,0
kick,0
kiss,0
kite,0
kitten,0
kittens,0
kitty,0
knee,0
knife,0
knot,0
knowledge,0
laborer,0
lace,0
ladybug,0
lake,0
lamp,0
land,0
language,0
laugh,0
lawyer,0
lead,0
leaf,0
learning,0
leather,0
leg,0
legs,0
letter,0
letters,0
lettuce,0
level,0
library,0
lift,0
light,0
limit,0
line,0
linen,0
lip,0
liquid,0
list,0
lizards,0
loaf,0
lock,0
locket,0
look,0
loss,0
love,0
low,0
lumber,0
lunch,0
lunchroom,0
machine,0
magic,0
maid,0
mailbox,0
man,0
manager,0
map,0
marble,0
mark,0
market,0
mask,0
mass,0
match,0
meal,0
measure,0
meat,0
meeting,0
memory,0
men,0
metal,0
mice,0
middle,0
milk,0
mind,0
mine,0
minister,0
mint,0
minute,0
mist,0
mitten,0
mom,0
money,0
monkey,0
month,0
moon,0
morning,0
mother,0
motion,0
mountain,0
mouth,0
move,0
muscle,0
music,0
nail,0
name,0
nation,0
neck,0
need,0
needle,0
nerve,0
nest,0
net,0
news,0
night,0
noise,0
north,0
nose,0
note,0
notebook,0
number,0
nut,0
oatmeal,0
observation,0
ocean,0
offer,0
office,0
oil,0
operation,0
opinion,0
orange,0
oranges,0
order,0
organization,0
ornament,0
oven,0
owl,0
owner,0
page,0
pail,0
pain,0
paint,0
pan,0
pancake,0
paper,0
parcel,0
parent,0
park,0
part,0
partner,0
party,0
passenger,0
paste,0
patch,0
payment,0
peace,0
pear,0
pen,0
pencil,0
person,0
pest,0
pet,0
pets,0
pickle,0
picture,0
pie,0
pies,0
pig,0
pigs,0
pin,0
pipe,0
pizzas,0
place,0
plane,0
planes,0
plant,0
plantation,0
plants,0
plastic,0
plate,0
play,0
playground,0
pleasure,0
plot,0
plough,0
pocket,0
point,0
poison,0
police,0
polish,0
pollution,0
popcorn,0
porter,0
position,0
pot,0
potato,0
powder,0
power,0
price,0
print,0
prison,0
process,0
produce,0
profit,0
property,0
prose,0
protest,0
pull,0
pump,0
punishment,0
purpose,0
push,0
quarter,0
quartz,0
queen,0
question,0
quicksand,0
quiet,0
quill,0
quilt,0
quince,0
quiver,0
rabbit,0
rabbits,0
rail,0
railway,0
rain,0
rainstorm,0
rake,0
range,0
rat,0
rate,0
ray,0
reaction,0
reading,0
reason,0
receipt,0
recess,0
record,0
regret,0
relation,0
religion,0
representative,0
request,0
respect,0
rest,0
reward,0
rhythm,0
rice,0
riddle,0
rifle,0
ring,0
rings,0
river,0
road,0
robin,0
rock,0
rod,0
roll,0
roof,0
room,0
root,0
rose,0
route,0
rub,0
rule,0
run,0
sack,0
sail,0
salt,0
sand,0
scale,0
scarecrow,0
scarf,0
scene,0
scent,0
school,0
science,0
scissors,0
screw,0
sea,0
seashore,0
seat,0
secretary,0
seed,0
selection,0
self,0
sense,0
servant,0
shade,0
shake,0
shame,0
shape,0
sheep,0
sheet,0
shelf,0
ship,0
shirt,0
shock,0
shoe,0
shoes,0
shop,0
show,0
side,0
sidewalk,0
sign,0
silk,0
silver,0
sink,0
sister,0
sisters,0
size,0
skate,0
skin,0
skirt,0
sky,0
slave,0
sleep,0
sleet,0
slip,0
slope,0
smash,0
smell,0
smile,0
smoke,0
snail,0
snails,0
snake,0
snakes,0
sneeze,0
snow,0
soap,0
society,0
sock,0
soda,0
sofa,0
son,0
song,0
songs,0
sort,0
sound,0
soup,0
space,0
spade,0
spark,0
spiders,0
sponge,0
spoon,0
spot,0
spring,0
spy,0
square,0
squirrel,0
stage,0
stamp,0
star,0
start,0
statement,0
station,0
steam,0
steel,0
stem,0
step,0
stew,0
stick,0
sticks,0
stitch,0
stocking,0
stomach,0
stone,0
stop,0
store,0
story,0
stove,0
stranger,0
straw,0
stream,0
street,0
stretch,0
string,0
structure,0
substance,0
sugar,0
suggestion,0
suit,0
summer,0
sun,0
support,0
surprise,0
sweater,0
swim,0
swing,0
system,0
table,0
tail,0
talk,0
tank,0
taste,0
tax,0
teaching,0
team,0
teeth,0
temper,0
tendency,0
tent,0
territory,0
test,0
texture,0
theory,0
thing,0
things,0
thought,0
thread,0
thrill,0
throat,0
throne,0
thumb,0
thunder,0
ticket,0
tiger,0
time,0
tin,0
title,0
toad,0
toe,0
toes,0
tomatoes,0
tongue,0
tooth,0
toothbrush,0
toothpaste,0
top,0
touch,0
town,0
toy,0
toys,0
trade,0
trail,0
train,0
trains,0
tramp,0
transport,0
tray,0
treatment,0
tree,0
trees,0
trick,0
trip,0
trouble,0
trousers,0
truck,0
trucks,0
tub,0
turkey,0
turn,0
twig,0
twist,0
umbrella,0
uncle,0
underwear,0
unit,0
use,0
vacation,0
value,0
van,0
vase,0
vegetable,0
veil,0
vein,0
verse,0
vessel,0
vest,0
view,0
visitor,0
voice,0
volcano,0
volleyball,0
voyage,0
walk,0
wall,0
war,0
wash,0
waste,0
watch,0
water,0
wave,0
waves,0
wax,0
way,0
wealth,0
weather,0
week,0
weight,0
wheel,0
whip,0
whistle,0
wilderness,0
wind,0
window,0
wine,0
wing,0
winter,0
wire,0
wish,0
woman,0
women,0
wood,0
wool,0
word,0
work,0
worm,0
wound,0
wren,0
wrench,0
wrist,0
writer,0
writing,0
xylophone,0
yak,0
yam,0
yard,0
yarn,0
year,0
yoke,0
zebra,0
zephyr,0
zinc,0
zipper,0
zoo,0
